"","CVE_ENT","CVE_MUN","NOM_MUN","Mx_Manglar","Mx_Mangl_1","Has_mun","Has_mangla"
"1086","29","010","Chiautempan",0,0,7722.226,0
"1087","29","014","Hueyotlipan",0,0,17598.782,0
"1088","29","034","Tlaxco",0,0,57547.918,0
"1089","29","035","TocatlÃ¡n",0,0,1425.217,0
"1090","29","002","ApetatitlÃ¡n de Antonio Carvajal",0,0,1161.669,0
"1091","29","015","Ixtacuixtla de Mariano Matamoros",0,0,16149.149,0
"1092","29","016","Ixtenco",0,0,4440.054,0
"1093","29","019","Tepetitla de LardizÃ¡bal",0,0,2310.822,0
"1094","29","024","Panotla",0,0,6095.499,0
"1095","29","036","Totolac",0,0,1381.098,0
"1096","29","037","ZiltlaltÃ©pec de Trinidad SÃ¡nchez Santos",0,0,7709.137,0
"1097","29","003","Atlangatepec",0,0,10815.889,0
"1098","29","017","Mazatecochco de JosÃ© MarÃ­a Morelos",0,0,1464.204,0
"1099","29","038","Tzompantepec",0,0,3840.259,0
"1100","29","004","Atltzayanca",0,0,18982.1,0
"1101","29","018","Contla de Juan Cuamatzi",0,0,2614.929,0
"1102","29","028","Teolocholco",0,0,7663.162,0
"1103","29","039","Xaloztoc",0,0,4151.171,0
"1104","29","040","Xaltocan",0,0,10281.325,0
"1105","29","005","Apizaco",0,0,4364.782,0
"1106","29","021","Nanacamilpa de Mariano Arista",0,0,10822.98,0
"1107","29","006","Calpulalpan",0,0,25394.849,0
"1108","29","022","Acuamanala de Miguel Hidalgo",0,0,1499.612,0
"1109","29","030","Terrenate",0,0,15466.627,0
"1110","29","047","LÃ¡zaro CÃ¡rdenas",0,0,2544.268,0
"1111","29","048","La Magdalena Tlaltelulco",0,0,1181.543,0
"1112","29","007","El Carmen Tequexquitla",0,0,5843.324,0
"1113","29","023","NatÃ­vitas",0,0,5249.785,0
"1114","29","025","San Pablo del Monte",0,0,5892.873,0
"1115","29","031","Tetla de la Solidaridad",0,0,16981.373,0
"1116","29","059","Santa Cruz Quilehtla",0,0,543.679,0
"1117","29","060","Santa Isabel Xiloxoxtla",0,0,604.479,0
"1118","29","008","Cuapiaxtla",0,0,8262.512,0
"1119","29","041","Papalotla de XicohtÃ©ncatl",0,0,2324.659,0
"1120","29","042","Xicohtzinco",0,0,731.985,0
"1121","29","009","Cuaxomulco",0,0,1667.261,0
"1122","29","026","Santa Cruz Tlaxcala",0,0,2588.903,0
"1123","29","027","Tenancingo",0,0,1324.751,0
"1124","29","049","San DamiÃ¡n TexÃ³loc",0,0,1020.757,0
"1125","29","051","San JerÃ³nimo Zacualpan",0,0,778.606,0
"1126","29","053","San Juan Huactzinco",0,0,449.165,0
"1127","29","054","San Lorenzo Axocomanitla",0,0,449.632,0
"1128","29","050","San Francisco Tetlanohcan",0,0,3950.686,0
"1129","29","011","MuÃ±oz de Domingo Arenas",0,0,3637.836,0
"1130","29","029","Tepeyanco",0,0,1645.109,0
"1131","29","043","Yauhquemehcan",0,0,3739.479,0
"1132","29","044","Zacatelco",0,0,2949.753,0
"1133","29","052","San JosÃ© Teacalco",0,0,3598.543,0
"1134","29","055","San Lucas Tecopilco",0,0,2880.217,0
"1135","29","012","EspaÃ±ita",0,0,13969.441,0
"1136","29","056","Santa Ana Nopalucan",0,0,919.905,0
"1137","29","057","Santa Apolonia Teacalco",0,0,796.625,0
"1138","29","058","Santa Catarina Ayometla",0,0,1008.945,0
"1139","29","032","Tetlatlahuca",0,0,2613.936,0
"1140","29","045","Benito JuÃ¡rez",0,0,2560.997,0
"1141","29","046","Emiliano Zapata",0,0,4989.697,0
"1142","29","013","Huamantla",0,0,34879.947,0
"1143","29","020","SanctÃ³rum de LÃ¡zaro CÃ¡rdenas",0,0,9923.564,0
"1144","29","001","Amaxac de Guerrero",0,0,1116.84,0
"1145","28","001","Abasolo",0,0,185887.264,0
"1146","28","002","Aldama",12771536.0682808,0.334389649909232,381935.747,1277.154
"1147","28","003","Altamira",3922617.38172988,0.236029341567986,166191.938,392.262
"1148","28","004","Antiguo Morelos",0,0,58224.183,0
"1149","28","005","Burgos",0,0,190503.5,0
"1150","28","006","Bustamante",0,0,145013.889,0
"1151","28","007","Camargo",0,0,93043.138,0
"1152","28","008","Casas",0,0,301399.563,0
"1153","28","009","Ciudad Madero",289027.716842583,0.596748164935595,4843.378,28.903
"1154","28","010","Cruillas",0,0,188944.516,0
"1155","28","011","GÃ³mez FarÃ­as",0,0,73030.764,0
"1156","28","012","GonzÃ¡lez",0,0,324256.251,0
"1157","28","013","GÃ¼Ã©mez",0,0,120934.781,0
"1158","28","014","Guerrero",0,0,244156.169,0
"1159","28","015","Gustavo DÃ­az Ordaz",0,0,43248.568,0
"1160","28","016","Hidalgo",0,0,213608.856,0
"1161","28","017","Jaumave",0,0,266332.374,0
"1162","28","018","JimÃ©nez",0,0,166961.557,0
"1163","28","019","Llera",0,0,256858.276,0
"1164","28","020","Mainero",0,0,36422.664,0
"1165","28","021","El Mante",0,0,163721.569,0
"1166","28","022","Matamoros",2525532.33726208,0.054508854568868,463325.153,252.553
"1167","28","023","MÃ©ndez",0,0,253310.495,0
"1168","28","024","Mier",0,0,92290.791,0
"1169","28","025","Miguel AlemÃ¡n",0,0,63887.222,0
"1170","28","026","Miquihuana",0,0,88537.701,0
"1171","28","027","Nuevo Laredo",0,0,122403.103,0
"1172","28","028","Nuevo Morelos",0,0,30302.331,0
"1173","28","029","Ocampo",0,0,147714.442,0
"1174","28","030","Padilla",0,0,135893.522,0
"1175","28","031","Palmillas",0,0,47999.6,0
"1176","28","032","Reynosa",0,0,314693.11,0
"1177","28","033","RÃ­o Bravo",0,0,158370.44,0
"1178","28","034","San Carlos",0,0,291508.528,0
"1179","28","035","San Fernando",707148.837490338,0.01022075130668,691875.593,70.715
"1180","28","036","San NicolÃ¡s",0,0,54465.754,0
"1181","28","037","Soto la Marina",4453629.41605903,0.066318182957522,671554.801,445.363
"1182","28","038","Tampico",12597806.5496951,11.0012968011579,11451.201,1259.781
"1183","28","039","Tula",0,0,307597.794,0
"1184","28","040","Valle Hermoso",0,0,89975.298,0
"1185","28","041","Victoria",0,0,146356.509,0
"1186","28","042","VillagrÃ¡n",0,0,128824.807,0
"1187","28","043","XicotÃ©ncatl",0,0,87073.133,0
"1188","30","001","Acajete",0,0,9749.508,0
"1189","30","002","AcatlÃ¡n",0,0,1826.913,0
"1190","30","004","Actopan",4044118.6957494,0.470542823438129,85945.816,404.412
"1191","30","006","Acultzingo",0,0,16889.971,0
"1192","30","007","CamarÃ³n de Tejeda",0,0,12406.797,0
"1193","30","008","AlpatlÃ¡huac",0,0,7087.978,0
"1194","30","010","Altotonga",0,0,32847.962,0
"1195","30","011","Alvarado",144792243.664989,17.5095668105501,82693.219,14479.224
"1196","30","012","AmatitlÃ¡n",0,0,13506.56,0
"1197","30","014","AmatlÃ¡n de los Reyes",0,0,15143.98,0
"1198","30","015","Angel R. Cabada",0,0,43054.833,0
"1199","30","017","Apazapan",0,0,6768.725,0
"1200","30","018","Aquila",0,0,2068.8,0
"1201","30","019","Astacinga",0,0,2983.69,0
"1202","30","021","Atoyac",0,0,12284.268,0
"1203","30","022","Atzacan",0,0,6536.789,0
"1204","30","025","Ayahualulco",0,0,17302.07,0
"1205","30","026","Banderilla",0,0,1979.786,0
"1206","30","027","Benito JuÃ¡rez",0,0,23261.581,0
"1207","30","029","Calcahualco",0,0,13407.666,0
"1208","30","030","Camerino Z. Mendoza",0,0,2090.292,0
"1209","30","031","Carrillo Puerto",0,0,24966.06,0
"1210","30","032","Catemaco",8317551.37300747,1.26192268183551,65911.735,831.755
"1211","30","034","Cerro Azul",0,0,9101.402,0
"1212","30","035","CitlaltÃ©petl",0,0,8125.136,0
"1213","30","039","Coatzacoalcos",9879183.90592945,3.16709129194472,31193.24,987.918
"1214","30","040","Coatzintla",0,0,27766.461,0
"1215","30","041","Coetzala",0,0,944.048,0
"1216","30","043","Comapa",0,0,31091.5,0
"1217","30","044","CÃ³rdoba",0,0,15985.357,0
"1218","30","046","CosautlÃ¡n de Carvajal",0,0,7659.618,0
"1219","30","049","Cotaxtla",0,0,53732.557,0
"1220","30","050","Coxquihui",0,0,8026.389,0
"1221","30","052","Cuichapa",0,0,3471.296,0
"1222","30","053","CuitlÃ¡huac",0,0,15032.099,0
"1223","30","054","Chacaltianguis",0,0,29046.31,0
"1224","30","056","Chiconamel",0,0,9263.864,0
"1225","30","057","Chiconquiaco",0,0,13372.859,0
"1226","30","058","Chicontepec",0,0,93645.867,0
"1227","30","061","Las Choapas",0,0,350887.888,0
"1228","30","062","ChocamÃ¡n",0,0,4431.764,0
"1229","30","064","ChumatlÃ¡n",0,0,2299.203,0
"1230","30","065","Emiliano Zapata",0,0,41578.632,0
"1231","30","067","Filomeno Mata",0,0,4329.258,0
"1232","30","068","FortÃ­n",0,0,6118.596,0
"1233","30","069","GutiÃ©rrez Zamora",2294581.8302586,1.27857781861923,17946.36,229.458
"1234","30","071","Huatusco",0,0,20290.912,0
"1235","30","072","Huayacocotla",0,0,52226.775,0
"1236","30","073","Hueyapan de Ocampo",0,0,70994.662,0
"1237","30","077","Isla",0,0,92686.888,0
"1238","30","078","Ixcatepec",0,0,17685.235,0
"1239","30","079","IxhuacÃ¡n de los Reyes",0,0,14982.826,0
"1240","30","081","Ixhuatlancillo",0,0,5237.604,0
"1241","30","082","IxhuatlÃ¡n del Sureste",702260.924359686,0.448118898185685,15671.308,70.226
"1242","30","083","IxhuatlÃ¡n de Madero",0,0,66915.676,0
"1243","30","084","Ixmatlahuacan",0,0,34725.438,0
"1244","30","086","Jalacingo",0,0,20808.948,0
"1245","30","087","Xalapa",0,0,12463.481,0
"1246","30","089","JÃ¡ltipan",0,0,31683.069,0
"1247","30","091","JesÃºs Carranza",0,0,141302.056,0
"1248","30","093","Jilotepec",0,0,5628.091,0
"1249","30","095","Juchique de Ferrer",0,0,18781.463,0
"1250","30","096","Landero y Coss",0,0,1760.872,0
"1251","30","097","Lerdo de Tejada",0,0,8398.34,0
"1252","30","101","Mariano Escobedo",0,0,6952.163,0
"1253","30","102","MartÃ­nez de la Torre",0,0,39865.53,0
"1254","30","105","MedellÃ­n",2425596.01773247,0.610457077913835,39734.096,242.56
"1255","30","106","MiahuatlÃ¡n",0,0,2947.265,0
"1256","30","107","Las Minas",0,0,5076.843,0
"1257","30","109","Misantla",0,0,52339.681,0
"1258","30","111","MoloacÃ¡n",0,0,24959.145,0
"1259","30","113","Naranjal",0,0,1858.972,0
"1260","30","114","Nautla",592971.503446252,0.166764850092694,35557.343,59.297
"1261","30","115","Nogales",0,0,6444.911,0
"1262","30","117","Omealca",0,0,21380.633,0
"1263","30","118","Orizaba",0,0,2768.452,0
"1264","30","121","Ozuluama de MascareÃ±as",11434424.9566901,0.478114807679833,239156.47,1143.442
"1265","30","122","Pajapan",6014314.63741933,1.92981534726456,31165.234,601.431
"1266","30","124","Papantla",488482.685759216,0.033539153072563,145645.504,48.848
"1267","30","126","Paso de Ovejas",0,0,38806.053,0
"1268","30","128","Perote",0,0,60906.983,0
"1269","30","130","Playa Vicente",0,0,119274.169,0
"1270","30","132","Las Vigas de RamÃ­rez",0,0,9975.62,0
"1271","30","133","Pueblo Viejo",17203372.1796269,5.95992883046399,28865.063,1720.337
"1272","30","134","Puente Nacional",0,0,38409.115,0
"1273","30","135","Rafael Delgado",0,0,2644.293,0
"1274","30","138","RÃ­o Blanco",0,0,1524.138,0
"1275","30","139","Saltabarranca",0,0,10848.662,0
"1276","30","140","San AndrÃ©s Tenejapan",0,0,2190.481,0
"1277","30","142","San Juan Evangelista",0,0,126166.833,0
"1278","30","143","Santiago Tuxtla",0,0,61782.642,0
"1279","30","144","Sayula de AlemÃ¡n",0,0,66246.824,0
"1280","30","145","Soconusco",0,0,9627.22,0
"1281","30","148","Soledad de Doblado",0,0,41607.575,0
"1282","30","149","Soteapan",0,0,47977.536,0
"1283","30","151","Tamiahua",67926806.1109903,6.6719448968176,101809.603,6792.681
"1284","30","152","Tampico Alto",22319872.0942158,2.55145174235158,87479.107,2231.987
"1285","30","153","Tancoco",0,0,15616.868,0
