Entidad,Clave_Entidad,Municipio,Clave_Municipio, Cuenta_Atlas ,Anio_Atlas,Cuenta_PPC,Cuenta_UnidadPC
México,15,Temascaltepec,086,1,2016,1,1
México,15,Temoaya,087,1,2019,1,1
México,15,Tenancingo,088,1,2019,1,1
México,15,Tenango del Aire,089,1,2015,1,1
México,15,Tenango del Valle,090,1,2016,1,1
México,15,Teoloyucan,091,1,2018,1,1
México,15,Teotihuacán,092,1,2019,1,1
México,15,Tepetlaoxtoc,093,1,2020,1,1
México,15,Tepetlixpa,094,1,2020,1,1
México,15,Tepotzotlán,095,1,2019,1,1
México,15,Tequixquiac,096,1,2020,1,1
México,15,Texcaltitlán,097,1,2014,1,1
México,15,Texcalyacac,098,1,2019,1,1
México,15,Texcoco,099,1,2012,1,1
México,15,Tezoyuca,100,1,2017,1,1
México,15,Tianguistenco,101,1,2019,1,1
México,15,Timilpan,102,1,2020,1,1
México,15,Tlalmanalco,103,1,2019,1,1
México,15,Tlalnepantla de Baz,104,1,2019,1,1
México,15,Tlatlaya,105,1,2014,1,1
México,15,Toluca,106,1,2019,1,1
México,15,Tonanitla,125,1,2020,1,1
México,15,Tonatico,107,1,2020,1,1
México,15,Tultepec,108,1,2020,1,1
México,15,Tultitlán,109,1,2019,1,1
México,15,Valle de Bravo,110,1,2020,1,1
México,15,Valle de Chalco Solidaridad,122,1,2011,1,1
México,15,Villa de Allende,111,1,2019,1,1
México,15,Villa del Carbón,112,1,2019,1,1
México,15,Villa Guerrero,113,1,2020,1,1
México,15,Villa Victoria,114,1,2019,1,1
México,15,Xalatlaco,043,1,2020,1,1
México,15, Xonacatlán,115,1,2019,1,1
México,15,Zacazonapan,116,1,2020,1,1
México,15,Zacualpan,117,1,2018,1,1
México,15,Zinacantepec,118,1,2020,1,1
México,15,Zumpahuacán,119,1,2018,1,1
México,15,Zumpango,120,1,2020,1,1
 Michoacán de Ocampo,16,Angangueo,005,1,2012,1,0
 Michoacán de Ocampo,16,Briseñas,011,1,2011,1,0
 Michoacán de Ocampo,16,Charapan,021,1,2011,1,0
 Michoacán de Ocampo,16,Chilchota,025,1,2018,1,0
 Michoacán de Ocampo,16,Cojumatlán de Régules,074,1,2011,1,0
 Michoacán de Ocampo,16,Gabriel Zamora,033,1,2013,1,0
 Michoacán de Ocampo,16,Hidalgo,034,1,2014,1,0
 Michoacán de Ocampo,16,Huandacareo,036,1,2013,1,0
 Michoacán de Ocampo,16,Huaniqueo,037,1,2011,1,0
 Michoacán de Ocampo,16,Huetamo,038,1,2014,1,1
 Michoacán de Ocampo,16,Jacona,043,1,2014,1,0
 Michoacán de Ocampo,16,Juárez,046,1,2011,1,0
 Michoacán de Ocampo,16,Jungapeo,047,1,2011,1,0
 Michoacán de Ocampo,16,La Huacana,035,1,2011,1,0
 Michoacán de Ocampo,16,Lázaro Cárdenas,052,1,2011,1,1
 Michoacán de Ocampo,16,Maravatío,050,1,2020,1,0
 Michoacán de Ocampo,16,Morelia,053,1,2001,1,1
 Michoacán de Ocampo,16,Pátzcuaro,066,1,2008,1,1
 Michoacán de Ocampo,16,Puruándiro,071,1,2011,1,0
 Michoacán de Ocampo,16,Queréndaro,072,1,2011,1,0
 Michoacán de Ocampo,16,San Lucas,077,1,2011,1,0
 Michoacán de Ocampo,16, Tarímbaro,088,1,2014,1,0
 Michoacán de Ocampo,16,Tiquicheo de Nicolás Romero,092,1,2013,1,0
 Michoacán de Ocampo,16,Tuxpan,098,1,2011,1,0
 Michoacán de Ocampo,16,Tuzantla,099,1,2013,1,0
 Michoacán de Ocampo,16,Uruapan,102,1,2019,1,1
 Michoacán de Ocampo,16,Zamora,108,1,2013,1,1
 Michoacán de Ocampo,16,Zitácuaro,112,1,2014,1,1
Nayarit,18,Ahuacatlán,002,1,2014,0,0
Nayarit,18,Bahía de Banderas,020,1,2020,1,1
Nayarit,18,Compostela,004,1,2012,0,1
Nayarit,18,Ixtlán del Río,006,1,2015,0,0
Nayarit,18,Jala,007,1,2014,1,1
Nayarit,18, La Yesca,019,1,2014,1,1
Nayarit,18,Ruíz,011,1,2015,0,1
Nayarit,18,San Blas,012,1,2013,0,0
Nayarit,18,San Pedro Lagunillas,013,1,2014,0,0
Nayarit,18,Santa María del Oro,014,1,2013,0,1
Nayarit,18,Santiago Ixcuintla,015,1,2012,0,0
Nayarit,18,Tepic,017,1,2014,1,1
Nayarit,18,Tuxpan,018,1,2013,0,1
Nayarit,18,Xalisco,008,1,2012,1,1
Puebla ,21, Acajete,001,1,2012,0,0
Puebla ,21,Ajalpan,010,1,2011,0,0
Puebla ,21,Aquixtla,016,1,2012,0,0
Puebla ,21, Atlixco,019,1,2016,1,1
Puebla ,21,Cañada Morelos,099,1,2011,1,0
Puebla ,21,Chalchicomula de Sesma,045,1,2011,1,0
Puebla ,21,Chichiquila,050,1,2015,1,0
Puebla ,21,Chignahuapan,053,1,2014,1,0
Puebla ,21,Cuautlancingo,041,1,2015,1,0
Puebla ,21,Esperanza,063,1,2011,1,0
Puebla ,21,Guadalupe Victoria,067,1,2012,1,0
Puebla ,21,Huauchinango,071,1,2005,1,0
Puebla ,21,Huehuetla,072,1,2012,1,0
Puebla ,21,Huejotzingo,074,1,2015,1,0
Puebla ,21,Ixcamilpa de Guerrero,081,1,2012,1,0
Puebla ,21,Ixtacamaxtitlán,083,1,2012,1,0
Puebla ,21,Jopala,089,1,2013,1,0
Puebla ,21,Nealtican,102,1,2015,1,0
Puebla ,21,Ocoyucan,106,1,2011,1,0
Puebla ,21,Pahuatlán,109,1,2013,1,0
Puebla ,21,Puebla,114,1,2012,1,1
Puebla ,21,Quimixtlán,116,1,2012,1,0
Puebla ,21,San Andrés Cholula,119,1,2011,1,0
Puebla ,21,San Antonio Cañada,120,1,2013,1,0
Puebla ,21,San Martín Texmelucan,132,1,2018,1,0
Puebla ,21,San Miguel Xoxtla,136,1,2012,1,0
Puebla ,21,San Pedro Cholula,140,1,2015,1,1
Puebla ,21,Santiago Miahuatlán,149,1,2011,1,0
Puebla ,21,Santo Tomás Hueyotlipan,151,1,2013,0,0
Puebla ,21,Tecamachalco,154,1,2011,1,0
Puebla ,21,Tehuacán,156,1,2012,1,1
Puebla ,21,Tetela de Ocampo,172,1,2012,0,0
Puebla ,21,Teziutlán,174,1,2015,1,1
Puebla ,21,Tianguismanalco,175,1,2016,0,0
Puebla ,21,Tochimilco,188,1,2011,0,0
Puebla ,21, Xochiapulco,200,1,2013,0,0
Puebla ,21,Zacatlán,208,1,2012,1,1
Puebla ,21,Zoquitlán,217,1,2013,0,0
Querétaro,22,Amealco de Bonfil,001,1,2014,0,0
Querétaro,22,Corregidora,006,1,2011,1,1
Querétaro,22,El Marqués,011,1,2019,1,1
Querétaro,22,Querétaro,014,1,2015,1,1
Querétaro,22,San Juan del Río,016,1,2012,1,1
San Luis Potosí,24,Ciudad Valles,013,1,2009,1,1
San Luis Potosí,24,San Luis Potosí,028,1,2011,1,1
Sinaloa,25,Ahome,001,1,2011,1,1
Sinaloa,25,Angostura,002,1,2012,1,1
Sinaloa,25, Culiacán,006,1,2020,1,1
Sinaloa,25,Elota,008,1,2014,1,1
Sinaloa,25,Escuinapa,009,1,2011,0,0
Sinaloa,25,Guasave,011,1,2020,1,1
Sinaloa,25,Mazatlán,012,1,2020,1,1
Sinaloa,25,Navolato,018,1,2011,1,1
Sinaloa,25,Rosario,014,1,2011,1,1
Sinaloa,25,Salvador Alvarado,015,1,2011,0,1
Sinaloa,25,San Ignacio,016,1,2014,0,0
Sinaloa,25,Sinaloa,017,1,2015,0,0
Sonora ,26,Álamos,003,1,2011,1,1
Sonora ,26,Empalme,025,1,2011,1,1
Sonora ,26,Etchojoa,026,1,2011,1,1
Sonora ,26,General Plutarco Elías Calles,070,1,2011,1,1
Sonora ,26,Guaymas,029,1,2011,1,1
Sonora ,26,Hermosillo,030,1,2013,1,1
Sonora ,26, Huatabampo,033,1,2011,1,1
Sonora ,26,Nogales,043,1,2006,1,1
Sonora ,26,Puerto Peñasco,048,1,2011,1,1
Sonora ,26,Quiriego,049,1,2011,1,1
Tabasco ,27, Balancán,001,1,2011,0,0
Tabasco ,27,Centla,003,1,2020,1,1
Tabasco ,27, Centro,004,1,2015,1,1
Tabasco ,27,Comalcalco,005,1,2020,0,0
Tabasco ,27,Paraíso,014,1,2018,0,0
Tabasco ,27,Teapa,016,1,2011,0,1
Tamaulipas,28,Altamira,003,1,2012,1,1
Tamaulipas,28,Ciudad Madero,009,1,2011,1,1
Tamaulipas,28,Matamoros,022,1,2001,1,1
Tamaulipas,28,Nuevo Laredo,027,1,2006,1,1
Tamaulipas,28,Reynosa,032,1,2006,1,1
Tamaulipas,28,San Fernando,035,1,2006,1,1
Tamaulipas,28,Tampico,038,1,2011,1,1
Tamaulipas,28,Victoria,041,1,2005,1,1
Yucatán,31,Dzilam de Bravo,028,1,2015,0,0
Yucatán,31,Hunucmá,038,1,2014,0,1
Yucatán,31,Ixil,039,1,2013,0,0
Yucatán,31,Kinchil,044,1,2018,0,1
Yucatán,31,Motul,052,1,2012,1,1
Yucatán,31,Peto,058,1,2013,1,1
Yucatán,31,Progreso,059,1,2011,0,1
Yucatán,31,Tekax,079,1,2014,0,1
Yucatán,31,Temax,084,1,2014,0,0
Yucatán,31,Temozón,085,1,2013,1,1
Yucatán,31,Ticul,089,1,2013,1,0
Yucatán,31,Tizimín,096,1,2014,1,1
Yucatán,31,Umán,101,1,2014,1,1
Yucatán,31,Valladolid,102,1,2012,1,1
Zacatecas,32,Fresnillo,010,1,2009,1,1
Zacatecas,32,Guadalupe,017,1,2011,1,1
Zacatecas,32, Valparaíso,049,1,2010,0,0
Zacatecas,32,Zacatecas,056,1,2007,1,1
Baja California  ,02,Ensenada,001,1,2011,1,1
Baja California  ,02, Mexicali,002,1,2006,0,1
Baja California  ,02,Playas de Rosarito,005,1,2015,1,1
Baja California  ,02,Tijuana,004,1,2000,1,1
Campeche,04,Campeche,002,1,2016,1,1
Campeche,04,Carmen,003,1,2011,1,1
Campeche,04,Champotón,004,1,2010,1,1
Chiapas,07,Acapetahua,003,1,2011,0,0
Chiapas,07,Arriaga,009,1,2011,1,1
Chiapas,07,Berriozábal,012,1,2011,1,1
Chiapas,07,Cacahoatán,015,1,2011,1,0
Chiapas,07,Chiapa de Corzo,027,1,2019,1,0
Chiapas,07,Chilón,031,1,2020,1,1
Chiapas,07,Cintalapa,017,1,2011,1,1
Chiapas,07,Comitán de Domínguez,019,1,2011,1,1
Chiapas,07,Huixtla,040,1,2011,1,1
Chiapas,07,La Concordia,020,1,2011,0,1
Chiapas,07,Las Margaritas,052,1,2011,1,1
Chiapas,07, Mapastepec,051,1,2011,1,1
Chiapas,07,Mazatán,054,1,2011,0,1
Chiapas,07,Motozintla,057,1,2011,0,0
Chiapas,07,Ocozocoautla de Espinosa,061,1,2011,1,1
Chiapas,07,Pijijiapan,069,1,2011,0,1
Chiapas,07,San Cristóbal de las Casas,078,1,2011,1,1
Chiapas,07,Suchiate,087,1,2011,1,1
Chiapas,07,Tapachula,089,1,2011,0,0
Chiapas,07,Teopisca,094,1,2011,0,0
Chiapas,07,Tonalá,097,1,2011,1,1
Chiapas,07,Tuxtla Gutiérrez,101,1,2011,1,1
Jalisco,14, Ameca,006,1,2011,1,1
Jalisco,14,Autlán de Navarro,015,1,2016,1,1
Jalisco,14,Chapala,030,1,2011,0,1
Jalisco,14,Cihuatlán,022,1,2016,1,1
Jalisco,14,Guadalajara,039,1,2011,1,1
Jalisco,14,Lagos de Moreno,053,1,2010,1,1
Jalisco,14,San Pedro Tlaquepaque,098,1,2005,1,1
Jalisco,14,Tlajomulco de Zúñiga,097,1,2008,1,1
Jalisco,14,Tonalá,101,1,2011,1,1
Jalisco,14,Zapopan,120,1,2009,1,1
Jalisco,14,Zapotlán el Grande,023,1,2015,1,1
Morelos,17,Cuautla,006,1,2011,0,1
Morelos,17, Cuernavaca,007,1,2019,1,1
Morelos,17,Huitzilac,009,1,2018,0,0
Morelos,17,Jiutepec,011,1,2011,1,1
Morelos,17,Ocuituco,016,1,2011,0,0
Morelos,17,Temixco,018,1,2009,1,1
Morelos,17, Temoac,033,1,2012,0,0
Morelos,17,Tetecala,021,1,2011,0,1
Morelos,17,Tetela del Volcán,022,1,2012,0,1
Morelos,17,Tlaltizapán de Zapata,024,1,2011,0,1
Morelos,17,Tlayacapan,026,1,2011,0,0
Morelos,17, Totolapan,027,1,2015,0,0
Morelos,17,Yautepec,029,1,2011,0,1
Nuevo León,19,Apodaca,006,1,2020,1,1
Nuevo León,19, Lampazos de Naranjo,032,1,2011,0,1
Nuevo León,19,Monterrey,039,1,2005,1,1
Nuevo León,19,San Nicolás de los Garza,046,1,2016,1,1
Nuevo León,19,San Pedro Garza García,019,1,2019,1,1
Nuevo León,19, Santa Catarina,048,1,2018,1,1
Oaxaca,20,Acatlán de Pérez Figueroa,002,1,2011,1,1
Oaxaca,20, Candelaria Loxicha,012,1,2015,1,1
Oaxaca,20,Ciudad Ixtepec,014,1,2013,0,0
Oaxaca,20,Heroica Ciudad de Huajuapan de León,039,1,2020,1,1
Oaxaca,20,Ixtlán de Juárez,042,1,2013,0,0
Oaxaca,20,Juchitán de Zaragoza,043,1,2011,1,1
Oaxaca,20,Loma Bonita,044,1,2012,0,1
Oaxaca,20, Miahuatlán de Porfirio Díaz,059,1,2012,0,1
Oaxaca,20,Oaxaca de Juárez,067,1,2011,1,1
Oaxaca,20,Ocotlán de Morelos,068,1,2014,1,1
Oaxaca,20,Salina Cruz,079,1,2011,1,1
Oaxaca,20,San Agustín Yatareni,087,1,2014,0,1
Oaxaca,20,San Antonino Castillo Velasco,103,1,2016,0,0
Oaxaca,20,San Blas Atempa,124,1,2014,1,1
Oaxaca,20,San Jacinto Amilpas,157,1,2011,1,1
