CVE_ENT,CVE_MUN,NOM_MUN,Mx_Manglar,Mx_Mangl_1,Has_mun,Has_mangla,LITORAL
"18","001",Acaponeta,9480579.660479111596942,0.664252160328312,142725.613,948.058,"1"
"18","004",Compostela,7330473.351867047138512,0.389790750708866,188061.757,733.047,"1"
"18","010",Rosamorada,140397553.199746340513229,7.627632457255148,184064.392,14039.755,"1"
"18","012",San Blas,69309435.695825397968292,6.277729687077934,110405.257,6930.944,"1"
"18","015",Santiago Ixcuintla,244425725.718185573816299,14.138094450751495,172884.491,24442.573,"1"
"18","016",Tecuala,143894484.413876295089722,13.772663821514072,104478.325,14389.448,"1"
"18","018",Tuxpan,59511044.471265919506550,18.957070991061421,31392.531,5951.104,"1"
"18","020",BahÃ­a de Banderas,1119025.934687285218388,0.145072771850947,77135.490,111.903,"1"
"20","043",Heroica Ciudad de JuchitÃ¡n de Zaragoza,8568851.275531506165862,0.940245902750741,91134.152,856.885,"1"
"20","079",Salina Cruz,2378147.372581727802753,1.803728190927207,13184.622,237.815,"1"
"20","130",San Dionisio del Mar,459711.183033746550791,0.129536508842649,35488.928,45.971,"1"
"20","141",San Francisco del Mar,91799600.386064022779465,13.538019657916436,67808.736,9179.960,"1"
"20","143",San Francisco IxhuatÃ¡n,2383150.888834710698575,1.120864035279334,21261.730,238.315,"1"
"20","184",San Juan Bautista Tuxtepec,0.000000000000000,0.000000000000000,87701.086,0.000,"1"
"20","248",San Mateo del Mar,1583558.964145012432709,1.764858204319207,8972.726,158.356,"1"
"20","266",San Miguel del Puerto,84954.061254009371623,0.016359960709986,51928.035,8.495,"1"
"20","278",San Miguel Soyaltepec,0.000000000000000,0.000000000000000,74349.393,0.000,"1"
"20","307",San Pedro Huamelula,2457874.681867963634431,0.354205809298291,69391.145,245.787,"1"
"20","318",San Pedro Mixtepec,2097732.484259321354330,0.645222895058783,32511.749,209.773,"1"
"20","324",San Pedro Pochutla,223621.349675157049205,0.050258310184765,44494.403,22.362,"1"
"20","327",San Pedro Tapanatepec,8338173.650850327685475,0.839077551288822,99373.099,833.817,"1"
"20","334",Villa de Tututepec de Melchor Ocampo,39591762.902878217399120,3.257090840785197,121555.599,3959.176,"1"
"20","401",Santa MarÃ­a Colotepec,1419892.736993601080030,0.342643806798112,41439.323,141.989,"1"
"20","413",Santa MarÃ­a Huatulco,885798.143720350111835,0.172917691489743,51226.577,88.580,"1"
"20","414",Santa MarÃ­a HuazolotitlÃ¡n,2583418.368572737555951,0.938269307432892,27533.868,258.342,"1"
"20","439",Santa MarÃ­a Tonameca,3374183.761002007406205,0.647972747522988,52072.927,337.418,"1"
"20","441",Santa MarÃ­a Xadani,295963.880812599905767,0.343877710299075,8606.661,29.596,"1"
