MUN_OFICIA,CLA_CICTRO,INESTAB_su,SUP_TOT_HA
"12080",Bajo,0.000000,25377.652
"12081",Muy bajo,0.000000,24025.902
"12023",Bajo,0.000000,63161.770
"12062",Muy bajo,0.000000,80278.301
"12065",Muy bajo,0.000000,11745.068
"12004",Muy bajo,0.000000,46990.779
"12043",Muy bajo,0.000000,60160.160
"12078",Muy bajo,0.000000,62058.148
"12002",Bajo,0.000000,87131.597
"12048",Medio,0.000000,197166.808
"12003",Bajo,0.000000,199447.086
"12007",Muy bajo,0.000000,75407.761
"12011",Bajo,0.000000,144939.486
"12014",Muy bajo,0.000000,22994.250
"12016",Alto,0.000000,264512.737
"12027",Muy bajo,0.000000,133563.512
"12054",Bajo,0.000000,237092.204
"12057",Medio,0.000000,284513.104
"12064",Muy bajo,0.000000,47203.771
"12067",Muy bajo,0.000000,28469.569
"12022",Bajo,0.000000,335748.669
"12073",Bajo,0.000000,214486.793
"12068",Alto,0.000000,176021.458
"12037",Muy bajo,0.000000,21210.064
"12047",Muy bajo,0.000000,29423.289
"12049",Muy bajo,0.000000,16228.147
"12060",Muy bajo,0.000000,21780.213
"12055",Muy bajo,0.000000,65068.841
"12015",Muy bajo,0.000000,30397.942
"12050",Muy bajo,0.000000,12632.546
"12038",Medio,0.000000,146782.373
"12001",Bajo,0.000000,172777.700
"15082",Muy bajo,0.000000,66840.858
"15104",Muy bajo,0.000000,8035.055
"15075",Muy bajo,0.000000,6993.896
"15065",Muy bajo,0.000000,14191.142
"15044",Muy bajo,0.000000,468.971
"15049",Muy bajo,0.000000,4605.789
"15004",Muy bajo,0.000000,17095.580
"15088",Muy bajo,0.000000,16464.440
"15056",Muy bajo,0.000000,23583.479
"15125",Muy bajo,0.000000,904.265
"15124",Muy bajo,0.000000,48810.307
"15123",Muy bajo,0.000000,70291.671
"15122",Muy bajo,0.000000,4660.783
"15121",Muy bajo,0.000000,11007.493
"15120",Muy bajo,0.000000,22364.298
"15119",Muy bajo,0.000000,20235.301
"15118",Muy bajo,0.000000,30998.412
"15117",Muy bajo,0.000000,29212.353
"15116",Muy bajo,0.000000,6669.389
"15115",Muy bajo,0.000000,5350.922
"15114",Muy bajo,0.000000,42479.534
"15113",Muy bajo,0.000000,22931.987
"15112",Muy bajo,0.000000,30339.625
"15111",Muy bajo,0.000000,30954.783
"15110",Muy bajo,0.000000,40083.909
"15109",Muy bajo,0.000000,7082.924
"15108",Muy bajo,0.000000,1562.993
"15107",Muy bajo,0.000000,9015.098
"15106",Muy bajo,0.000000,42807.967
"15105",Muy bajo,0.000000,78858.929
"15103",Muy bajo,0.000000,16017.300
"15102",Muy bajo,0.000000,16674.182
"15101",Muy bajo,0.000000,13177.830
"15100",Muy bajo,0.000000,1650.341
"15099",Muy bajo,0.000000,42806.520
"15098",Muy bajo,0.000000,2473.029
"15097",Muy bajo,0.000000,14921.875
"15096",Muy bajo,0.000000,12247.794
"15095",Muy bajo,0.000000,20712.093
"15094",Muy bajo,0.000000,4312.444
"15093",Muy bajo,0.000000,17851.346
"15092",Muy bajo,0.000000,8319.491
"15091",Muy bajo,0.000000,3104.826
"15090",Muy bajo,0.000000,20852.003
"15089",Muy bajo,0.000000,3795.731
"15087",Muy bajo,0.000000,18810.568
"15086",Muy bajo,0.000000,56827.963
"15085",Muy bajo,0.000000,35627.436
"15084",Muy bajo,0.000000,16461.361
"15083",Muy bajo,0.000000,2923.804
"15081",Muy bajo,0.000000,15686.532
"15080",Muy bajo,0.000000,56614.566
"15079",Muy bajo,0.000000,14658.678
"15078",Muy bajo,0.000000,10403.841
"15077",Muy bajo,0.000000,13077.216
"15076",Muy bajo,0.000000,1889.390
"15074",Muy bajo,0.000000,36867.439
"15073",Muy bajo,0.000000,2530.763
"15072",Muy bajo,0.000000,2298.974
"15071",Muy bajo,0.000000,12668.958
"15070",Muy bajo,0.000000,3663.494
"15069",Muy bajo,0.000000,316.161
"15068",Muy bajo,0.000000,4754.833
"15067",Muy bajo,0.000000,11234.998
"15066",Muy bajo,0.000000,15703.862
"15064",Muy bajo,0.000000,13749.062
"15063",Muy bajo,0.000000,38585.750
"15062",Muy bajo,0.000000,13931.235
"15061",Muy bajo,0.000000,8262.442
"15060",Muy bajo,0.000000,23258.032
"15059",Muy bajo,0.000000,6104.101
"15058",Muy bajo,0.000000,6326.704
"15057",Muy bajo,0.000000,15793.302
"15055",Muy bajo,0.000000,1128.876
"15054",Muy bajo,0.000000,6736.260
"15053",Muy bajo,0.000000,1401.721
"15052",Muy bajo,0.000000,20995.046
"15051",Muy bajo,0.000000,23081.175
"15050",Muy bajo,0.000000,13249.384
"15048",Muy bajo,0.000000,27740.545
"15047",Muy bajo,0.000000,27521.046
"15046",Muy bajo,0.000000,11645.422
"15045",Muy bajo,0.000000,56837.887
"15043",Muy bajo,0.000000,10822.488
"15042",Muy bajo,0.000000,33557.788
"15041",Muy bajo,0.000000,9933.278
"15040",Muy bajo,0.000000,11512.252
"15039",Muy bajo,0.000000,32400.919
"15038",Muy bajo,0.000000,7972.589
"15037",Muy bajo,0.000000,14088.241
"15036",Muy bajo,0.000000,23452.129
"15035",Muy bajo,0.000000,11975.760
"15034",Muy bajo,0.000000,5316.931
"15033",Muy bajo,0.000000,15619.471
"15032",Muy bajo,0.000000,19161.307
"15031",Muy bajo,0.000000,5445.147
"15030",Muy bajo,0.000000,683.727
"15029",Muy bajo,0.000000,4212.635
"15028",Muy bajo,0.000000,2025.702
"15027",Muy bajo,0.000000,1199.577
"15026",Muy bajo,0.000000,29222.478
"15025",Muy bajo,0.000000,22522.974
"15024",Muy bajo,0.000000,4081.760
"15023",Muy bajo,0.000000,3991.842
"15022",Muy bajo,0.000000,1477.872
"15021",Muy bajo,0.000000,28659.450
"15020",Muy bajo,0.000000,3503.055
"15019",Muy bajo,0.000000,2096.068
"15018",Muy bajo,0.000000,10295.895
"15017",Muy bajo,0.000000,5067.266
"15016",Muy bajo,0.000000,28651.284
"15015",Muy bajo,0.000000,16770.467
"15014",Muy bajo,0.000000,25775.961
"15013",Muy bajo,0.000000,9285.434
"15012",Muy bajo,0.000000,853.595
"15011",Muy bajo,0.000000,8765.288
"15010",Muy bajo,0.000000,7566.034
"15009",Muy bajo,0.000000,17624.840
"15008",Muy bajo,0.000000,63626.878
"15007",Muy bajo,0.000000,22226.905
"15006",Muy bajo,0.000000,915.717
"15005",Muy bajo,0.000000,48020.450
"15003",Muy bajo,0.000000,45330.828
"15002",Muy bajo,0.000000,8690.657
"15001",Muy bajo,0.000000,47556.593
"17029",Muy bajo,0.000000,19199.705
"17014",Muy bajo,0.000000,5788.919
"17020",Muy bajo,0.000000,24237.066
"17018",Muy bajo,0.000000,10276.990
"17007",Muy bajo,0.000000,19967.700
"17028",Muy bajo,0.000000,9321.938
"17005",Muy bajo,0.000000,8339.884
"17015",Muy bajo,0.000000,21545.614
"17009",Muy bajo,0.000000,18910.753
"17016",Muy bajo,0.000000,8654.529
"17030",Muy bajo,0.000000,17672.010
"17032",Muy bajo,0.000000,5376.808
"17022",Muy bajo,0.000000,9847.767
"17027",Muy bajo,0.000000,5997.636
"17026",Muy bajo,0.000000,5727.118
"17023",Muy bajo,0.000000,10786.360
"17006",Muy bajo,0.000000,9717.752
"17002",Muy bajo,0.000000,7938.006
"17004",Muy bajo,0.000000,37706.922
"17031",Muy bajo,0.000000,2631.290
"17008",Muy bajo,0.000000,6828.151
"17011",Muy bajo,0.000000,5596.039
"17012",Muy bajo,0.000000,15346.340
"17001",Muy bajo,0.000000,11724.011
"17021",Muy bajo,0.000000,6770.247
"17017",Muy bajo,0.000000,29758.971
"17033",Muy bajo,0.000000,3707.663
"17013",Muy bajo,0.000000,9033.187
"17010",Muy bajo,0.000000,10226.032
"17024",Muy bajo,0.000000,23846.338
"17025",Muy bajo,0.000000,54392.504
"17019",Muy bajo,0.000000,36864.406
"17003",Muy bajo,0.000000,14151.181
"25012",Muy alto,0.000000,253259.261
"25017",Medio,0.000000,632576.043
"25006",Alto,0.000000,630502.977
"25018",Muy bajo,0.000000,233066.339
"25016",Alto,0.000000,507010.699
"25015",Bajo,0.000000,77355.138
"25014",Alto,0.000000,263468.856
"25013",Bajo,0.000000,280056.690
"25011",Medio,0.000000,293817.542
"25010",Medio,0.000000,416982.621
"25009",Bajo,0.000000,155463.293
"25008",Alto,0.000000,164335.588
"25007",Bajo,0.000000,321465.559
"25005",Alto,0.000000,217206.266
"25004",Alto,0.000000,216727.265
"25003",Bajo,0.000000,483634.557
"25001",Alto,0.000000,399534.631
"25002",Medio,0.000000,190501.675
"26026",Bajo,0.000000,94864.290
"26042",Medio,0.000000,280870.786
"26012",Bajo,0.000000,158327.620
"26033",Alto,0.000000,190551.299
"26032",Muy bajo,0.000000,82173.991
"26048",Muy bajo,0.000000,619367.794
"26017",Muy bajo,0.000000,1067168.933
"26050",Muy bajo,0.000000,87905.135
"26049",Medio,0.000000,378055.756
"26047",Bajo,0.000000,981996.850
"26046",Muy bajo,0.000000,91638.257
"26045",Muy bajo,0.000000,222427.799
"26044",Muy bajo,0.000000,53415.857
"26043",Bajo,0.000000,175657.743
"26041",Muy bajo,0.000000,173576.002
"26040",Bajo,0.000000,283266.738
"26039",Muy bajo,0.000000,123845.094
"26038",Muy bajo,0.000000,187751.859
"26037",Muy bajo,0.000000,68300.959
"26036",Bajo,0.000000,123942.209
"26035",Bajo,0.000000,217001.309
"26034",Muy bajo,0.000000,42081.395
"26031",Muy bajo,0.000000,119755.786
"26068",Muy bajo,0.000000,112323.298
"26028",Muy bajo,0.000000,36388.931
"26027",Muy bajo,0.000000,261634.537
"26025",Muy bajo,0.000000,59315.857
"26024",Muy bajo,0.000000,38570.002
"26023",Muy bajo,0.000000,201004.870
"26022",Muy bajo,0.000000,157788.049
"26021",Bajo,0.000000,412209.755
"26020",Bajo,0.000000,258181.181
"26019",Muy bajo,0.000000,231618.818
"26018",Bajo,0.000000,487631.423
"26016",Bajo,0.000000,141219.389
"26015",Muy bajo,0.000000,172166.783
"26014",Muy bajo,0.000000,84252.677
"26013",Muy bajo,0.000000,80806.397
"26011",Muy bajo,0.000000,123095.379
"26010",Muy bajo,0.000000,134460.214
"26009",Bajo,0.000000,112893.344
"26008",Muy bajo,0.000000,106599.598
"26007",Muy bajo,0.000000,30043.002
"26006",Muy bajo,0.000000,307197.120
"26005",Bajo,0.000000,72631.128
"26004",Muy bajo,0.000000,445770.295
"26003",Medio,0.000000,642281.267
"26002",Muy bajo,0.000000,394654.382
"26001",Muy bajo,0.000000,36817.002
"26072",Bajo,0.000000,138357.451
"26071",Bajo,0.000000,36946.061
"26070",Muy bajo,0.000000,365670.442
"26069",Bajo,0.000000,266766.403
"26067",Muy bajo,0.000000,147149.659
"26066",Muy bajo,0.000000,308805.999
"26065",Muy bajo,0.000000,172543.168
"26064",Bajo,0.000000,301044.788
"26063",Muy bajo,0.000000,77868.203
"26062",Bajo,0.000000,91478.117
"26061",Bajo,0.000000,171675.956
"26060",Muy bajo,0.000000,135359.189
"26059",Muy bajo,0.000000,100119.137
"26058",Bajo,0.000000,147658.413
"26057",Bajo,0.000000,222953.266
"26056",Muy bajo,0.000000,111565.685
"26054",Bajo,0.000000,53593.446
"26053",Muy bajo,0.000000,15134.491
"26052",Bajo,0.000000,500375.235
"26051",Medio,0.000000,351977.120
"26055",Bajo,0.000000,887679.763
"02004",Muy bajo,0.000000,123532.918
"02003",Muy bajo,0.000000,268722.834
"02005",Muy bajo,0.000000,49973.747
"02002",Bajo,0.000000,1565408.006
"02001",Alto,0.000000,5312327.738
"26029",Bajo,0.000000,795074.159
"26030",Medio,0.000000,1695516.000
"03009",Alto,0.000000,462856.391
"03003",Muy alto,0.000000,1583811.554
"03002",Muy alto,0.000000,3205800.665
"03001",Muy alto,0.000000,1833204.807
"03008",Muy alto,0.000000,375156.123
"06009",Medio,0.000000,93894.528
"06007",Alto,0.000000,135716.385
"06001",Medio,0.000000,40879.970
"06004",Medio,0.000000,52698.748
"06010",Bajo,0.000000,28799.067
"06003",Bajo,0.000000,31434.354
"06008",Medio,0.000000,41489.849
"06002",Bajo,0.000000,74600.835
"06006",Bajo,0.000000,37675.935
"06005",Muy bajo,0.000000,41225.626
"18001",Bajo,0.000000,142725.612
"18002",Muy bajo,0.000000,50480.060
"18003",Muy bajo,0.000000,51834.034
"18005",Bajo,0.000000,223742.186
"18006",Muy bajo,0.000000,49301.414
"18007",Muy bajo,0.000000,50361.783
"18008",Muy bajo,0.000000,50375.087
"18009",Bajo,0.000000,514246.227
"18011",Medio,0.000000,52059.637
"18013",Muy bajo,0.000000,51567.851
"18014",Muy bajo,0.000000,109139.754
"18016",Bajo,0.000000,104478.323
"18017",Muy bajo,0.000000,163524.507
"18018",Medio,0.000000,31392.531
"18019",Muy bajo,0.000000,431675.420
"18020",Bajo,0.000000,77135.489
"18004",Bajo,0.000000,188061.756
"18015",Medio,0.000000,172884.490
"18012",Medio,0.000000,110405.256
"18010",Medio,0.000000,184064.392
"14067",Bajo,0.000000,68086.466
"14043",Alto,0.000000,201097.637
"14081",Muy bajo,0.000000,26082.027
"14041",Muy bajo,0.000000,30924.141
"14042",Muy bajo,0.000000,76954.516
"14115",Muy bajo,0.000000,67330.076
"14104",Muy bajo,0.000000,58703.406
"14025",Muy bajo,0.000000,64810.406
"14061",Muy bajo,0.000000,336358.828
"14116",Muy bajo,0.000000,45294.388
"14064",Muy bajo,0.000000,115574.587
"14031",Muy bajo,0.000000,65507.904
"14019",Muy bajo,0.000000,86648.072
"14076",Muy bajo,0.000000,69005.793
"14060",Muy bajo,0.000000,28700.293
"14072",Muy bajo,0.000000,35168.345
"14074",Muy bajo,0.000000,26193.914
"14071",Muy bajo,0.000000,52297.180
"14046",Muy bajo,0.000000,52089.761
"14118",Muy bajo,0.000000,56333.452
"14117",Muy bajo,0.000000,27183.428
"14040",Muy bajo,0.000000,75637.285
"14075",Muy bajo,0.000000,30550.987
"14029",Muy bajo,0.000000,64299.716
"14007",Muy bajo,0.000000,19471.016
"14055",Muy bajo,0.000000,29318.521
"14094",Muy bajo,0.000000,169299.214
"14036",Muy bajo,0.000000,33776.443
"14003",Muy bajo,0.000000,27398.908
"14095",Muy bajo,0.000000,21909.611
"14080",Bajo,0.000000,111673.386
"14038",Muy bajo,0.000000,83772.854
"14048",Muy bajo,0.000000,66517.175
"14039",Bajo,0.000000,15118.257
"14078",Muy bajo,0.000000,78675.657
"14105",Muy bajo,0.000000,33655.184
"14123",Muy bajo,0.000000,40002.335
"14013",Muy bajo,0.000000,51089.099
"14006",Muy bajo,0.000000,83911.697
"14044",Muy bajo,0.000000,20181.331
"14002",Muy bajo,0.000000,15398.437
"14062",Muy bajo,0.000000,63096.552
"14033",Muy bajo,0.000000,42672.689
"14077",Muy bajo,0.000000,34292.616
"14016",Muy bajo,0.000000,43086.578
"14045",Bajo,0.000000,83182.456
"14004",Bajo,0.000000,12482.003
"14052",Medio,0.000000,24588.453
"14008",Muy bajo,0.000000,95008.507
"14125",Muy bajo,0.000000,22780.266
"14083",Muy bajo,0.000000,41210.079
"14120",Muy bajo,0.000000,115627.290
"14070",Muy bajo,0.000000,8178.109
"14009",Muy bajo,0.000000,11175.907
"14005",Muy bajo,0.000000,17257.365
"14091",Muy bajo,0.000000,93353.781
"14111",Muy bajo,0.000000,35226.032
"14093",Muy bajo,0.000000,140012.728
"14035",Muy bajo,0.000000,125339.887
"14073",Muy bajo,0.000000,84767.150
"14053",Muy bajo,0.000000,251443.715
"14109",Muy bajo,0.000000,72882.948
"14089",Bajo,0.000000,7923.829
"14082",Bajo,0.000000,21597.166
"14102",Bajo,0.000000,29357.361
"14086",Bajo,0.000000,61940.437
"14112",Muy bajo,0.000000,19523.421
"14068",Alto,0.000000,184808.017
"14054",Medio,0.000000,11423.232
"14034",Medio,0.000000,29764.283
"14014",Bajo,0.000000,45153.150
"14026",Muy bajo,0.000000,26563.702
"14079",Muy bajo,0.000000,35344.863
"14110",Medio,0.000000,44302.613
"14037",Medio,0.000000,17731.262
"14098",Muy bajo,0.000000,11816.901
"14101",Muy bajo,0.000000,16626.248
"14051",Muy bajo,0.000000,13808.243
"14001",Muy bajo,0.000000,33919.590
"14124",Muy bajo,0.000000,71876.597
"14097",Muy bajo,0.000000,71397.895
"14057",Muy bajo,0.000000,13399.194
"14059",Muy bajo,0.000000,28893.856
"14096",Muy bajo,0.000000,19388.083
"14092",Muy bajo,0.000000,33443.228
"14032",Medio,0.000000,29738.429
"14107",Muy bajo,0.000000,13240.957
"14088",Medio,0.000000,76514.189
"14017",Muy bajo,0.000000,88337.137
"14100",Medio,0.000000,301479.994
"14090",Medio,0.000000,28153.675
"14020",Medio,0.000000,154340.063
"14018",Muy bajo,0.000000,41819.602
"14010",Bajo,0.000000,35581.372
"14024",Muy bajo,0.000000,33124.747
"14114",Muy bajo,0.000000,31817.692
"14012",Muy bajo,0.000000,61019.785
"14119",Muy bajo,0.000000,47909.138
"14011",Muy bajo,0.000000,44056.354
"14028",Muy bajo,0.000000,41711.931
"14058",Bajo,0.000000,184312.473
"14084",Bajo,0.000000,199635.199
"14030",Muy bajo,0.000000,63002.463
"14050",Muy bajo,0.000000,32433.033
"14066",Muy bajo,0.000000,83480.716
"14063",Muy bajo,0.000000,24271.869
"14047",Muy bajo,0.000000,16276.297
"14113",Bajo,0.000000,74611.528
"14121",Muy bajo,0.000000,25225.581
"14015",Medio,0.000000,70514.065
"14106",Bajo,0.000000,42997.497
"14023",Muy bajo,0.000000,27349.220
"14069",Muy bajo,0.000000,67431.511
"14065",Bajo,0.000000,87458.239
"14022",Alto,0.000000,50133.212
"14122",Bajo,0.000000,30576.871
"14103",Muy bajo,0.000000,14587.157
"14108",Bajo,0.000000,72545.453
"14087",Bajo,0.000000,130100.066
"14056",Bajo,0.000000,77643.854
"14021",Medio,0.000000,52271.148
"14027",Alto,0.000000,139113.341
"14085",Muy bajo,0.000000,136369.151
"14049",Bajo,0.000000,147624.545
"14099",Bajo,0.000000,51263.116
"16108",Muy bajo,0.000000,33503.954
"16085",Muy bajo,0.000000,38514.714
"16052",Alto,0.000000,115027.005
"16008",Alto,0.000000,226422.674
"16010",Alto,0.000000,343455.416
"16096",Bajo,0.000000,206239.837
"16077",Muy bajo,0.000000,46790.778
"16014",Medio,0.000000,36595.664
"16038",Muy bajo,0.000000,205728.718
"16029",Bajo,0.000000,110904.937
"16026",Medio,0.000000,102206.636
"16015",Bajo,0.000000,282633.665
"16002",Bajo,0.000000,139687.406
"16035",Medio,0.000000,195202.150
"16055",Bajo,0.000000,37757.335
"16097",Muy bajo,0.000000,154609.211
"16013",Muy bajo,0.000000,91804.014
"16089",Bajo,0.000000,79811.683
"16006",Bajo,0.000000,164026.684
"16064",Bajo,0.000000,50337.297
"16057",Muy bajo,0.000000,54552.099
"16059",Muy bajo,0.000000,33040.243
"16033",Bajo,0.000000,36731.182
"16009",Muy bajo,0.000000,69517.712
"16081",Muy bajo,0.000000,26795.917
"16092",Muy bajo,0.000000,149302.925
"16046",Muy bajo,0.000000,14099.454
"16087",Muy bajo,0.000000,18509.584
"16012",Bajo,0.000000,92236.379
"16082",Muy bajo,0.000000,78681.501
"16099",Muy bajo,0.000000,101808.497
"16079",Muy bajo,0.000000,48785.962
"16111",Muy bajo,0.000000,15997.467
"16058",Muy bajo,0.000000,23498.876
"16083",Muy bajo,0.000000,71425.490
"16047",Muy bajo,0.000000,26548.592
"16049",Muy bajo,0.000000,101964.587
"16001",Muy bajo,0.000000,17632.059
"16112",Muy bajo,0.000000,51259.062
"16039",Muy bajo,0.000000,7910.512
"16066",Muy bajo,0.000000,43854.157
"16068",Muy bajo,0.000000,33180.510
"16090",Muy bajo,0.000000,18975.513
"16102",Muy bajo,0.000000,101291.676
"16048",Muy bajo,0.000000,7266.893
"16061",Muy bajo,0.000000,14225.662
"16098",Muy bajo,0.000000,24342.232
"16100",Muy bajo,0.000000,18439.049
"16101",Muy bajo,0.000000,94131.055
"16005",Muy bajo,0.000000,7683.831
"16007",Muy bajo,0.000000,5841.531
"16032",Muy bajo,0.000000,24397.748
"16065",Muy bajo,0.000000,24416.704
"16056",Muy bajo,0.000000,30415.464
"16073",Muy bajo,0.000000,21335.313
"16041",Muy bajo,0.000000,12665.223
"16022",Muy bajo,0.000000,32304.349
"16024",Muy bajo,0.000000,22236.278
"16075",Muy bajo,0.000000,48092.245
"16021",Muy bajo,0.000000,23375.991
"16080",Muy bajo,0.000000,25030.450
"16072",Muy bajo,0.000000,23486.370
"16095",Muy bajo,0.000000,50604.107
"16053",Muy bajo,0.000000,119225.201
"16093",Muy bajo,0.000000,19720.325
"16034",Muy bajo,0.000000,114340.374
"16040",Muy bajo,0.000000,17646.478
"16088",Muy bajo,0.000000,25586.598
"16091",Muy bajo,0.000000,17276.204
"16019",Muy bajo,0.000000,50501.916
"16025",Muy bajo,0.000000,30462.696
"16016",Muy bajo,0.000000,39367.735
"16110",Muy bajo,0.000000,59642.937
"16037",Muy bajo,0.000000,20054.179
"16003",Muy bajo,0.000000,15951.702
"16027",Muy bajo,0.000000,19230.069
"16018",Muy bajo,0.000000,17327.702
"16044",Muy bajo,0.000000,19448.844
"16070",Muy bajo,0.000000,19266.620
"16107",Muy bajo,0.000000,45468.128
"16084",Muy bajo,0.000000,31605.912
"16043",Muy bajo,0.000000,11870.163
"16050",Muy bajo,0.000000,69770.450
"16036",Muy bajo,0.000000,9621.396
"16054",Muy bajo,0.000000,18339.234
"16020",Muy bajo,0.000000,25440.358
"16078",Muy bajo,0.000000,10409.381
"16017",Muy bajo,0.000000,37886.520
"16045",Muy bajo,0.000000,24323.163
"16094",Muy bajo,0.000000,20376.324
"16104",Muy bajo,0.000000,35016.793
"16051",Muy bajo,0.000000,23303.674
"16076",Muy bajo,0.000000,12811.256
"16063",Muy bajo,0.000000,28925.439
"16023",Muy bajo,0.000000,15206.705
"16074",Muy bajo,0.000000,13109.975
"16067",Muy bajo,0.000000,37124.728
"16004",Muy bajo,0.000000,24028.824
"16042",Muy bajo,0.000000,12390.781
"16028",Muy bajo,0.000000,22941.945
"16103",Muy bajo,0.000000,22763.069
"16062",Muy bajo,0.000000,17036.796
"16031",Muy bajo,0.000000,42361.416
"16109",Muy bajo,0.000000,11318.048
"16030",Muy bajo,0.000000,30416.174
"16071",Muy bajo,0.000000,71893.543
"16011",Muy bajo,0.000000,6769.621
"16060",Muy bajo,0.000000,7690.528
"16105",Muy bajo,0.000000,14759.747
"16113",Muy bajo,0.000000,21968.056
"16086",Muy bajo,0.000000,22807.624
"16106",Muy bajo,0.000000,17439.160
"16069",Muy bajo,0.000000,28474.106
"10007",Muy bajo,0.000000,84240.915
"10034",Alto,0.000000,580068.295
"10037",Medio,0.000000,162764.539
"10038",Muy bajo,0.000000,36970.891
"10039",Muy bajo,0.000000,185164.791
"10035",Medio,0.000000,606916.828
"10033",Bajo,0.000000,146830.454
"10027",Muy bajo,0.000000,240969.585
"10031",Muy bajo,0.000000,98528.592
"10001",Bajo,0.000000,349196.910
"10002",Bajo,0.000000,89255.930
"10003",Muy bajo,0.000000,107447.662
"10004",Bajo,0.000000,534936.567
"10005",Medio,0.000000,928537.123
"10008",Muy bajo,0.000000,131711.358
"10010",Muy bajo,0.000000,468962.758
"10011",Muy bajo,0.000000,250512.567
"10013",Muy bajo,0.000000,773009.069
"10014",Bajo,0.000000,837340.570
"10015",Bajo,0.000000,238747.203
"10016",Muy bajo,0.000000,118587.647
"10018",Muy bajo,0.000000,353003.888
"10019",Bajo,0.000000,170992.522
"10020",Bajo,0.000000,102618.960
"10021",Bajo,0.000000,168360.978
"10022",Muy bajo,0.000000,112746.940
"10023",Alto,0.000000,694435.166
"10024",Muy bajo,0.000000,143293.340
"10025",Muy bajo,0.000000,230720.274
"10026",Medio,0.000000,548325.197
"10028",Bajo,0.000000,139943.894
"10029",Muy bajo,0.000000,60475.750
"10030",Muy bajo,0.000000,179694.727
"10032",Medio,0.000000,640287.672
"10006",Muy bajo,0.000000,218930.992
"10012",Bajo,0.000000,214770.271
"10017",Bajo,0.000000,364395.970
"10009",Bajo,0.000000,548555.087
"08006",Muy bajo,0.000000,95216.615
"08019",Muy bajo,0.000000,838223.149
"08004",Muy bajo,0.000000,49509.722
"08037",Muy bajo,0.000000,354749.562
"08013",Muy bajo,0.000000,375508.206
"08050",Muy bajo,0.000000,260217.979
"08053",Muy bajo,0.000000,37077.117
"08005",Muy bajo,0.000000,1285989.929
"08025",Muy bajo,0.000000,85333.534
"08020",Bajo,0.000000,198989.809
"08023",Muy bajo,0.000000,172963.182
"08028",Muy bajo,0.000000,599522.405
"08030",Bajo,0.000000,182289.614
"08035",Muy bajo,0.000000,741339.261
"08040",Muy bajo,0.000000,873737.939
"08041",Bajo,0.000000,100642.803
"08043",Muy bajo,0.000000,72707.242
"08051",Muy bajo,0.000000,179570.907
"08063",Muy bajo,0.000000,427486.363
"08065",Bajo,0.000000,330171.534
"08066",Bajo,0.000000,265894.158
"08029",Medio,0.000000,961902.892
"08046",Bajo,0.000000,218299.912
